source_type,reference_code,generic_name,trade_name,dosage_form,manufacturer,status
TMT,101066,โปลิฟาร์ม,TYMET,"(cimetidine 200 mg) film-coated tablet, 1 tablet",โปลิฟาร์ม,ACTIVE
TMT,102136,โปลิฟาร์ม,TYMET,"(cimetidine 400 mg) film-coated tablet, 1 tablet",โปลิฟาร์ม,ACTIVE
TMT,574219,เวสโก ฟาร์มาซูติคอล,TYMOL,"(paracetamol 300 mg/2 mL) solution for injection, 2 mL ampoule",เวสโก ฟาร์มาซูติคอล,ACTIVE
TMT,541476,เวสโก ฟาร์มาซูติคอล,TYMOL-L,"(lidocaine hydrochloride 20 mg/2 mL + paracetamol 300 mg/2 mL) solution for injection, 2 mL ampoule",เวสโก ฟาร์มาซูติคอล,ACTIVE
TMT,632468,ซีโนฟาร์ม,TYPANOL,"(paracetamol 120 mg/5 mL) syrup, 60 mL bottle",ซีโนฟาร์ม,ACTIVE
TMT,466133,ซีโนฟาร์ม,TYPANOL,"(paracetamol 500 mg) tablet, 1 tablet",ซีโนฟาร์ม,ACTIVE
TMT,466151,ซีโนฟาร์ม,TYPANOL-325,"(paracetamol 325 mg) tablet, 1 tablet",ซีโนฟาร์ม,ACTIVE
TMT,841245,"BHARAT BIOTECH INTERNATIONAL, INDIA",TYPBAR,"(typhoid, purified polysaccharide antigen 25 mcg/0.5 mL) solution for injection, 0.5 mL prefilled sy","BHARAT BIOTECH INTERNATIONAL, INDIA",ACTIVE
TMT,841266,"GLAXOSMITHKLINE BIOLOGICALS, BELGIUM",TYPHERIX,"(typhoid, purified polysaccharide antigen 25 mcg/0.5 mL) solution for injection, 0.5 mL prefilled sy","GLAXOSMITHKLINE BIOLOGICALS, BELGIUM",ACTIVE
TMT,816963,"SANOFI PASTEUR, FRANCE",TYPHIM VI,"(polysaccharide of salmonella typhi 25 mcg/0.5 mL) solution for injection, 500 mcL prefilled syr","SANOFI PASTEUR, FRANCE",ACTIVE
TMT,466179,ห้างขายยาตราเจ็ดดาว,TYPRA,"(paracetamol 500 mg) tablet, 1 tablet",ห้างขายยาตราเจ็ดดาว,ACTIVE
TMT,466198,ชินต้าเทรดดิ้ง,TYRINTA TROCHES,"(benzocaine 5 mg + tyrothricin 2 mg) lozenge, 1 lozenge",ชินต้าเทรดดิ้ง,ACTIVE
TMT,466216,ที.โอ. เคมีคอลส์ (1979,TYROZEN,"(กรุงเทพฯ)) (benzalkonium chloride 500 mcg + benzocaine 3 mg + tyrothricin 1 mg) lozenge, 1 lozenge",ที.โอ. เคมีคอลส์ (1979) (กรุงเทพฯ),ACTIVE
TMT,990967,"VETTER PHARMA-FERTIGUNG, GERMANY",TYSABRI,"(natalizumab 300 mg/15 mL) concentrate for solution for infusion, 15 mL vial","VETTER PHARMA-FERTIGUNG, GERMANY",ACTIVE
TMT,622018,ที.โอ. เคมีคอลส์ (1979,TYSTATIN,"(กรุงเทพฯ)) (nystatin 100000 iu/1 mL) oral suspension, 12 mL bottle",ที.โอ. เคมีคอลส์ (1979) (กรุงเทพฯ),ACTIVE
TMT,622060,ที.โอ. เคมีคอลส์ (1979,TYSTATIN,"(กรุงเทพฯ)) (nystatin 25 mg/1 mL) oral suspension, 12 mL bottle",ที.โอ. เคมีคอลส์ (1979) (กรุงเทพฯ),ACTIVE
TMT,622087,ที.โอ. ฟาร์ม่า,TYSTATIN,"(nystatin 100000 iu/1 mL) oral suspension, 12 mL bottle",ที.โอ. ฟาร์ม่า,ACTIVE
TMT,622104,ที.โอ. ฟาร์ม่า,TYSTATIN,"(nystatin 25 mg/1 mL) oral suspension, 12 mL bottle",ที.โอ. ฟาร์ม่า,ACTIVE
