source_type,reference_code,generic_name,trade_name,dosage_form,manufacturer,status
TTMT,9401742,แก้ลมแก้เส้น,ยาแก้ลมแก้เส้นแคปซูล คูเมือง,ยาแคปซูล,โรงพยาบาลคูเมือง,ACTIVE
TTMT,9401757,แก้ลมแก้เส้น,ยาตำรับแก้ลมแก้เส้น คูเมือง,ยาผง,โรงพยาบาลคูเมือง,ACTIVE
TTMT,9401761,ไพสาลี,ยาไพสาลีแคปซูล คูเมือง,ยาแคปซูล,โรงพยาบาลคูเมือง,ACTIVE
TTMT,9401774,อไภยสาลี,ยาอไภยสาลีแคปซูล คูเมือง,ยาแคปซูล,โรงพยาบาลคูเมือง,ACTIVE
TTMT,9401788,แก้นอนไม่หลับ/ยาแก้ไข้ผอมเหลือง, ยาแก้นอนไม่หลับ/แก้ไข้ผอมเหลือง แคปซูล คูเมือง,ยาแคปซูล,โรงพยาบาลคูเมือง,ACTIVE
TTMT,9401790,ชุดอบสมุนไพร,ยาชุดอบสมุนไพร คูเมือง,ยาต้ม,โรงพยาบาลคูเมือง,ACTIVE
TTMT,9401800,ชาชงกัญชาผสมใบเตย,ยาชาชงกัญชาผสมใบเตย คูเมือง,ยาชง,โรงพยาบาลคูเมือง,ACTIVE
TTMT,9401816,ชาชงกัญชาผสมเก๊กฮวย,ยาชาชงกัญชาผสมเก๊กฮวย คูเมือง,ยาชง,โรงพยาบาลคูเมือง,ACTIVE
TTMT,9401828,ชาชงกัญชาผสมกระเจี๊ยบ,ยาชาชงกัญชาผสมกระเจี๊ยบ คูเมือง,ยาชง,โรงพยาบาลคูเมือง,ACTIVE
TTMT,9401837,น้ำมันกัญชาขมิ้นทอง,น้ำมันกัญชาขมิ้นทอง (รพ.พระอาจารย์ฝั้นอาจารโร),ยาเข้าน้ำมัน,โรงพยาบาลพระอาจารย์ฝั้นอาจาโร,ACTIVE
TTMT,9401844,สารสกัดจากฟ้าทะลายโจร,อภัย แอนโดร ยาแคปซูลสารสกัดฟ้าทะลายโจร,ยาแคปซูล,มูลนิธิ โรงพยาบาลเจ้าพระยาอภัยภูเบศร,ACTIVE
TTMT,9401859,ศุขไสยาศน์,ศุขไสยาศน์,ยาแคปซูล,มูลนิธิ โรงพยาบาลเจ้าพระยาอภัยภูเบศร,ACTIVE
TTMT,9401863,แก้ไอพื้นบ้านอีสาน,แก้ไอพื้นบ้านอีสาน,ยาน้ำ,โรงพยาบาลอุดรธานี,ACTIVE
TTMT,9401871,รางจืด,ยาแคปซูลรางจืด ตราทีเอฟดี ,ยาแคปซูล,บริษัท ไทยเอฟดี จำกัด,ACTIVE
TTMT,9401885,เถาวัลย์เปรียง,ยาแคปซูลเถาวัลย์เปรียง 500มิลลิกรัม ตราธงทอง,ยาแคปซูล,ห้างธงทองโอสถ,ACTIVE
TTMT,9401892,ฟ้าทะลายโจร,ยาแคปซูลฟ้าทะลายโจร ตราเฮิร์บไทยจง,ยาแคปซูล,บริษัท เฮิร์บไทยจง จำกัด,ACTIVE
TTMT,9401902,ขมิ้นชัน,ยาขมิ้นชัน,ยาแคปซูล,บริษัท เฮิร์บไทยจง จำกัด,ACTIVE
